param revenue :=
  [*,1] P1 9.61972058836328, P2 9.46025455986116, P3 7.51798449601409, P4 6.23861902195014, 
  [*,2] P1 11.0181773197645, P2 6.95787185444623, P3 8.25652417654981, P4 5.62929092979916, 
  [*,3] P1 6.4220898274066, P2 6.39743489437906, P3 8.20490832150569, P4 6.29396621157056, 
  [*,4] P1 11.4532393230821, P2 8.42106759658472, P3 5.58148039925868, P4 5.52120506750369, 
  [*,5] P1 7.80943099317234, P2 5.94403858707707, P3 9.6513501739186, P4 6.58153911276344, 
  [*,6] P1 10.8962026607321, P2 6.11042511338592, P3 5.71410619832506, P4 5.74996695511994, 
  [*,7] P1 7.87611108212453, P2 9.26701460022834, P3 5.41098924653577, P4 5.83601904927583, 
  [*,8] P1 11.6590661871559, P2 8.87612893120435, P3 6.42258196941454, P4 5.79940660941646, 
  [*,9] P1 8.26077351173911, P2 7.11498441449695, P3 5.32067431023337, P4 6.35626358123683, 
  [*,10] P1 9.50546883878786, P2 6.65845621490602, P3 7.95877327537805, P4 5.61237402646041, 
  [*,11] P1 10.0617952187226, P2 9.95595718918695, P3 6.47182862010084, P4 5.26385201095647, 
  [*,12] P1 7.76720487545759, P2 9.23961801662691, P3 8.73587719296458, P4 5.89290429829746, 
  [*,13] P1 10.9067442039399, P2 5.15606859152811, P3 8.17718872580258, P4 5.70330834740732, 
  [*,14] P1 11.6802734115211, P2 5.63581904879631, P3 8.60332468952337, P4 6.14282665984538, 
  [*,15] P1 9.9969074240951, P2 10.0946035043872, P3 6.448395151092, P4 5.15269633143575, 
  [*,16] P1 6.77913298409068, P2 8.01421883427999, P3 6.55018031450529, P4 6.60796678977783, 
  [*,17] P1 6.34538180610985, P2 11.8073559074479, P3 6.36116326826568, P4 5.8206169804797, 
  [*,18] P1 7.45973226735877, P2 5.87337759248006, P3 7.51188227709699, P4 7.05265079308262, 
  [*,19] P1 11.5536202377615, P2 11.6811519039892, P3 7.43202733764981, P4 5.88405358191409, 
  [*,20] P1 7.35270772898898, P2 7.58580680539282, P3 7.64863222491019, P4 6.15996714578818, 
;
param n_scenarios := 20;
