param revenue :=
  [*,1] P1 7.49203628371034, P2 7.54716551370978, P3 8.62885703549665, P4 6.65308821662005, 
  [*,2] P1 10.5674449385394, P2 11.3547340593886, P3 9.05448922317436, P4 5.27432078196415, 
  [*,3] P1 7.45148097272833, P2 10.407797722952, P3 6.95213500356006, P4 5.0407689295795, 
  [*,4] P1 7.61796972302197, P2 10.0544289820305, P3 8.29386171670503, P4 6.44822537421493, 
  [*,5] P1 7.91737198313061, P2 7.88797659812162, P3 6.0315767221945, P4 6.04487106151302, 
  [*,6] P1 11.8643309290627, P2 10.4494132804508, P3 6.15681257671561, P4 5.9466365190546, 
  [*,7] P1 6.60636687630223, P2 8.72327056411213, P3 5.25183234451987, P4 6.25618020289939, 
  [*,8] P1 5.85030225745901, P2 10.2990518851648, P3 6.03038106449112, P4 6.49043175442187, 
  [*,9] P1 9.76466726068221, P2 7.69309110773629, P3 6.78311290795304, P4 5.44079869917149, 
  [*,10] P1 5.36439002491373, P2 11.782020486663, P3 7.08056081707677, P4 6.57934881309061, 
  [*,11] P1 9.0459073608781, P2 6.32548755502283, P3 7.75634845987211, P4 7.39435700406366, 
  [*,12] P1 6.63341254089363, P2 7.59957437250222, P3 5.06148634691021, P4 5.7184869019751, 
  [*,13] P1 8.69630289283985, P2 5.05548154532905, P3 7.2497784810819, P4 6.4557793970539, 
  [*,14] P1 7.85753323661065, P2 11.1925253839549, P3 6.85071150373449, P4 6.09280825423769, 
  [*,15] P1 9.95173548850687, P2 8.04047592700917, P3 6.84139677763769, P4 5.68227721935158, 
  [*,16] P1 7.08815964281184, P2 7.10583077203276, P3 9.09372315556506, P4 6.83040423614615, 
  [*,17] P1 6.1724685203161, P2 8.34973166246855, P3 6.64976579836591, P4 6.27394710020169, 
  [*,18] P1 6.55326502916432, P2 5.93418268960517, P3 6.97122768235913, P4 6.47376245087182, 
  [*,19] P1 7.16709296079296, P2 5.89407644713593, P3 8.37575659142102, P4 6.16089244664174, 
  [*,20] P1 5.98101063497385, P2 8.10918101819661, P3 5.85142291062521, P4 7.48368558631875, 
  [*,21] P1 5.53631537997947, P2 9.64167341575354, P3 6.08368468576446, P4 6.60243059144071, 
  [*,22] P1 9.92127426791442, P2 5.41472038316693, P3 10.3125483663023, P4 5.88796506548306, 
  [*,23] P1 11.9565450662104, P2 5.47776135970704, P3 9.67177426020123, P4 5.78917204164673, 
  [*,24] P1 5.43757444747231, P2 10.6878673580654, P3 6.55808862825944, P4 6.69369823948887, 
  [*,25] P1 10.2663536150709, P2 11.6083846091981, P3 7.35939334449866, P4 5.18647522408221, 
  [*,26] P1 10.2557074853116, P2 8.55926940143257, P3 5.9719036260775, P4 5.84759547370329, 
  [*,27] P1 9.31626183198172, P2 7.10978955761324, P3 7.39945278559908, P4 5.46387830156528, 
  [*,28] P1 9.47171884326733, P2 8.25132659979092, P3 7.03969546176249, P4 6.06233549135336, 
  [*,29] P1 10.0170255253836, P2 9.2774579682498, P3 6.44630768056482, P4 5.90789489854622, 
  [*,30] P1 6.71936734423414, P2 11.7072656779583, P3 5.83880871969641, P4 5.76871862457515, 
  [*,31] P1 6.45693653819394, P2 6.23615870219581, P3 7.61211549570319, P4 7.34105146990851, 
